date,max_temp,total_energy
2017-05-26,34,178.44
2017-05-27,33.5,163.67
2017-05-28,33.5,157.2
2017-05-29,34,156.24
2017-05-30,33.2,154.36
2017-05-31,34.4,154.61
2017-06-01,32.6,155.45
2017-06-02,32.4,169.65
2017-06-03,33.8,176.54
2017-06-04,30.2,175.18
2017-06-05,29.7,178.38
2017-06-06,30.1,179.64
2017-06-07,33.2,182.11
2017-06-08,33,178.9
2017-06-09,32.8,189.65
2017-06-10,33.5,190.5
2017-06-11,31.6,189.1
2017-06-12,31.7,183.42
2017-06-13,31.6,182.78
2017-06-14,32,191.81
2017-06-15,33.8,179.36
2017-06-16,34.6,189.78
2017-06-17,35.8,208.98
2017-06-18,35.4,197.56
2017-06-19,36.6,204.82
2017-06-20,29.2,191.55
2017-06-21,28.4,181.98
2017-06-22,30.8,167.72
2017-06-23,32.6,189.85
2017-06-24,32.4,183.82
