date,max_temp,total_energy
2015-06-17,35,153.51
2015-06-18,34.2,157.4
2015-06-19,33,158.51
2015-06-20,29.3,148.64
2015-06-21,30.7,148.85
2015-06-22,30.5,144.64
2015-06-23,29.2,143.84
2015-06-24,29.5,132.66
2015-06-25,28.3,132.92
2015-06-26,30,136.87
2015-06-27,33.4,148.41
2015-06-28,36,154.18
2015-06-29,34,160.67
2015-06-30,32.5,156.84
2015-07-01,34,150.41
2015-07-02,35.2,161.11
2015-07-03,33,163.7
2015-07-04,34,167.42
2015-07-05,32.8,156.71
2015-07-06,31,138.68
2015-07-07,28.5,157.84
2015-07-08,33.6,155.2
2015-07-09,33.4,165.41
2015-07-10,35,162.49
2015-07-11,35.5,169.89
2015-07-12,29.6,149.95
2015-07-13,30.6,143.43
2015-07-14,30,128.11
2015-07-15,28.3,121.54
2015-07-16,27.2,107.62
