date,max_temp,total_energy
2016-06-06,34.8,177.38
2016-06-07,34,184.62
2016-06-08,35.3,182.47
2016-06-09,34.7,185.87
2016-06-10,34.7,182.26
2016-06-11,33.8,182.96
2016-06-12,34.6,176.16
2016-06-13,32.5,188.44
2016-06-14,35,188.64
2016-06-15,34.6,195.96
2016-06-16,34.8,194.46
2016-06-17,34.8,194.46
2016-06-18,32.2,176.94
2016-06-19,31.3,164.44
2016-06-20,30.8,148.08
2016-06-21,28.5,134.61
2016-06-22,28.8,133.45
2016-06-23,33.6,135.1
2016-06-24,33.6,140.8
2016-06-25,33.5,143.85
2016-06-26,33,158.39
2016-06-27,33.4,157.77
2016-06-28,33.4,164.82
2016-06-29,33.5,172.08
2016-06-30,34.5,178.91
2016-07-01,33.2,167.25
2016-07-02,29.5,162.03
2016-07-03,32.5,165.45
2016-07-04,31,161.46
2016-07-05,31.5,169.11
